textBox46,textBox15,textBox18,textBox62,textBox17,textBox19,textBox12,textBox13,textBox40,textBox20,textBox8,textBox21,textBox7,textBox1,textBox9,textBox23,textBox10,textBox24,textBox11,textBox41,textBox49,textBox50,textBox63,textBox64,textBox68,textBox69,textBox78,textBox74,textBox73,textBox79,textBox83,textBox84,textBox154,textBox155,textBox159,textBox160,textBox164,textBox165,textBox169,textBox170,textBox174,textBox175,textBox179,textBox180,textBox184,textBox185,textBox189,textBox190,textBox194,textBox195,textBox25,textBox26,textBox27,textBox28,textBox29,textBox42,textBox51,textBox65,textBox70,textBox75,textBox80,textBox134,textBox156,textBox161,textBox166,textBox171,textBox176,textBox181,textBox186,textBox191,textBox196,textBox14,textBox30,textBox31,textBox32,textBox33,textBox34,textBox47,textBox56,textBox66,textBox71,textBox76,textBox81,textBox135,textBox157,textBox162,textBox167,textBox172,textBox177,textBox182,textBox187,textBox192,textBox197,textBox16,textBox35,textBox36,textBox37,textBox38,textBox39,textBox48,textBox57,textBox67,textBox72,textBox77,textBox82,textBox153,textBox158,textBox163,textBox168,textBox173,textBox178,textBox183,textBox188,textBox193,textBox198
Game Metric Report,Site: BankofPinball,"Period: From Thu, 01-Jan-2026 06:00 AM To Sat, 31-Jan-2026 06:00 AM",Game Profile: All,site_name,game_profile,BankofPinball,IAAPA PinXP,Site Name,BankofPinball,Game Profiles,IAAPA PinXP,Game Name,IAAPA Guns N Roses,ID,1093,Credit Play Count,,Courtesy Play Count,,Bonus Play Count,,Time Play Count,,Card Game Count,,Total Plays,,Credits,,Courtesy,,Bonus,,Time,,Card Game,,Total Amt.,,Tickets,,GST,,SN#,,Avg. Price,,PO%,,,IAAPA PinXP Total,,,,,,,,,,,,,,,,,,,,Total,BankofPinball Total,,,,"8,907",0,0,0,324,"9,231","56,937.00",0.00,0.00,0.00,368.00,"57,305.00","222,278",,,6.21,193.94,Total,Grand Total,,,,"8,907",0,0,0,324,"9,231","56,937.00",0.00,0.00,0.00,368.00,"57,305.00","222,278",,,6.21,193.94
Game Metric Report,Site: BankofPinball,"Period: From Thu, 01-Jan-2026 06:00 AM To Sat, 31-Jan-2026 06:00 AM",Game Profile: All,site_name,game_profile,BankofPinball,IAAPA PinXP,Site Name,BankofPinball,Game Profiles,IAAPA PinXP,Game Name,IAAPA Avatar,ID,1091,Credit Play Count,,Courtesy Play Count,,Bonus Play Count,,Time Play Count,,Card Game Count,,Total Plays,,Credits,,Courtesy,,Bonus,,Time,,Card Game,,Total Amt.,,Tickets,,GST,,SN#,,Avg. Price,,PO%,,,IAAPA PinXP Total,,,,,,,,,,,,,,,,,,,,Total,BankofPinball Total,,,,"8,907",0,0,0,324,"9,231","56,937.00",0.00,0.00,0.00,368.00,"57,305.00","222,278",,,6.21,193.94,Total,Grand Total,,,,"8,907",0,0,0,324,"9,231","56,937.00",0.00,0.00,0.00,368.00,"57,305.00","222,278",,,6.21,193.94
Game Metric Report,Site: BankofPinball,"Period: From Thu, 01-Jan-2026 06:00 AM To Sat, 31-Jan-2026 06:00 AM",Game Profile: All,site_name,game_profile,BankofPinball,IAAPA PinXP,Site Name,BankofPinball,Game Profiles,IAAPA PinXP,Game Name,IAAPA Toy Story 4,ID,1092,Credit Play Count,,Courtesy Play Count,,Bonus Play Count,,Time Play Count,,Card Game Count,,Total Plays,,Credits,,Courtesy,,Bonus,,Time,,Card Game,,Total Amt.,,Tickets,,GST,,SN#,,Avg. Price,,PO%,,,IAAPA PinXP Total,,,,,,,,,,,,,,,,,,,,Total,BankofPinball Total,,,,"8,907",0,0,0,324,"9,231","56,937.00",0.00,0.00,0.00,368.00,"57,305.00","222,278",,,6.21,193.94,Total,Grand Total,,,,"8,907",0,0,0,324,"9,231","56,937.00",0.00,0.00,0.00,368.00,"57,305.00","222,278",,,6.21,193.94
Game Metric Report,Site: BankofPinball,"Period: From Thu, 01-Jan-2026 06:00 AM To Sat, 31-Jan-2026 06:00 AM",Game Profile: All,site_name,game_profile,BankofPinball,IAAPA PinXP,Site Name,BankofPinball,Game Profiles,IAAPA PinXP,Game Name,IAAPA Elton John,ID,1095,Credit Play Count,,Courtesy Play Count,,Bonus Play Count,,Time Play Count,,Card Game Count,,Total Plays,,Credits,,Courtesy,,Bonus,,Time,,Card Game,,Total Amt.,,Tickets,,GST,,SN#,,Avg. Price,,PO%,,,IAAPA PinXP Total,,,,,,,,,,,,,,,,,,,,Total,BankofPinball Total,,,,"8,907",0,0,0,324,"9,231","56,937.00",0.00,0.00,0.00,368.00,"57,305.00","222,278",,,6.21,193.94,Total,Grand Total,,,,"8,907",0,0,0,324,"9,231","56,937.00",0.00,0.00,0.00,368.00,"57,305.00","222,278",,,6.21,193.94
Game Metric Report,Site: BankofPinball,"Period: From Thu, 01-Jan-2026 06:00 AM To Sat, 31-Jan-2026 06:00 AM",Game Profile: All,site_name,game_profile,BankofPinball,IAAPA PinXP,Site Name,BankofPinball,Game Profiles,IAAPA PinXP,Game Name,IAAPA Godfather,ID,1094,Credit Play Count,,Courtesy Play Count,,Bonus Play Count,,Time Play Count,,Card Game Count,,Total Plays,,Credits,,Courtesy,,Bonus,,Time,,Card Game,,Total Amt.,,Tickets,,GST,,SN#,,Avg. Price,,PO%,,,IAAPA PinXP Total,,,,,,,,,,,,,,,,,,,,Total,BankofPinball Total,,,,"8,907",0,0,0,324,"9,231","56,937.00",0.00,0.00,0.00,368.00,"57,305.00","222,278",,,6.21,193.94,Total,Grand Total,,,,"8,907",0,0,0,324,"9,231","56,937.00",0.00,0.00,0.00,368.00,"57,305.00","222,278",,,6.21,193.94
Game Metric Report,Site: BankofPinball,"Period: From Thu, 01-Jan-2026 06:00 AM To Sat, 31-Jan-2026 06:00 AM",Game Profile: All,site_name,game_profile,BankofPinball,Legend Arcade,Site Name,BankofPinball,Game Profiles,Legend Arcade,Game Name,Crab Rush P1,ID,0170,Credit Play Count,2,Courtesy Play Count,0,Bonus Play Count,0,Time Play Count,0,Card Game Count,0,Total Plays,2,Credits,4.00,Courtesy,0.00,Bonus,0.00,Time,0.00,Card Game,0.00,Total Amt.,4.00,Tickets,0,GST,0.00,SN#,,Avg. Price,2.00,PO%,0.00,,Legend Arcade Total,,,2,0,0,0,0,2,4.00,0.00,0.00,0.00,0.00,4.00,0,0.00,,2.00,0.00,Total,BankofPinball Total,,,,"8,907",0,0,0,324,"9,231","56,937.00",0.00,0.00,0.00,368.00,"57,305.00","222,278",,,6.21,193.94,Total,Grand Total,,,,"8,907",0,0,0,324,"9,231","56,937.00",0.00,0.00,0.00,368.00,"57,305.00","222,278",,,6.21,193.94
Game Metric Report,Site: BankofPinball,"Period: From Thu, 01-Jan-2026 06:00 AM To Sat, 31-Jan-2026 06:00 AM",Game Profile: All,site_name,game_profile,BankofPinball,LuckyPutt,Site Name,BankofPinball,Game Profiles,LuckyPutt,Game Name,LuckyPutt,ID,0162,Credit Play Count,,Courtesy Play Count,,Bonus Play Count,,Time Play Count,,Card Game Count,,Total Plays,,Credits,,Courtesy,,Bonus,,Time,,Card Game,,Total Amt.,,Tickets,,GST,,SN#,,Avg. Price,,PO%,,,LuckyPutt Total,,,,,,,,,,,,,,,,,,,,Total,BankofPinball Total,,,,"8,907",0,0,0,324,"9,231","56,937.00",0.00,0.00,0.00,368.00,"57,305.00","222,278",,,6.21,193.94,Total,Grand Total,,,,"8,907",0,0,0,324,"9,231","56,937.00",0.00,0.00,0.00,368.00,"57,305.00","222,278",,,6.21,193.94
Game Metric Report,Site: BankofPinball,"Period: From Thu, 01-Jan-2026 06:00 AM To Sat, 31-Jan-2026 06:00 AM",Game Profile: All,site_name,game_profile,BankofPinball,Pinball,Site Name,BankofPinball,Game Profiles,Pinball,Game Name,Aerosmith,ID,0136,Credit Play Count,49,Courtesy Play Count,0,Bonus Play Count,0,Time Play Count,0,Card Game Count,2,Total Plays,51,Credits,343.00,Courtesy,0.00,Bonus,0.00,Time,0.00,Card Game,7.00,Total Amt.,350.00,Tickets,0,GST,0.00,SN#,,Avg. Price,6.86,PO%,0.00,,Pinball Total,,,"2,419",0,0,0,186,"2,605","16,933.00",0.00,0.00,0.00,126.00,"17,059.00",0,0.00,,6.55,0.00,Total,BankofPinball Total,,,,"8,907",0,0,0,324,"9,231","56,937.00",0.00,0.00,0.00,368.00,"57,305.00","222,278",,,6.21,193.94,Total,Grand Total,,,,"8,907",0,0,0,324,"9,231","56,937.00",0.00,0.00,0.00,368.00,"57,305.00","222,278",,,6.21,193.94
Game Metric Report,Site: BankofPinball,"Period: From Thu, 01-Jan-2026 06:00 AM To Sat, 31-Jan-2026 06:00 AM",Game Profile: All,site_name,game_profile,BankofPinball,Pinball,Site Name,BankofPinball,Game Profiles,Pinball,Game Name,Avatar,ID,0190,Credit Play Count,94,Courtesy Play Count,0,Bonus Play Count,0,Time Play Count,0,Card Game Count,0,Total Plays,94,Credits,658.00,Courtesy,0.00,Bonus,0.00,Time,0.00,Card Game,0.00,Total Amt.,658.00,Tickets,0,GST,0.00,SN#,,Avg. Price,7.00,PO%,0.00,,Pinball Total,,,"2,419",0,0,0,186,"2,605","16,933.00",0.00,0.00,0.00,126.00,"17,059.00",0,0.00,,6.55,0.00,Total,BankofPinball Total,,,,"8,907",0,0,0,324,"9,231","56,937.00",0.00,0.00,0.00,368.00,"57,305.00","222,278",,,6.21,193.94,Total,Grand Total,,,,"8,907",0,0,0,324,"9,231","56,937.00",0.00,0.00,0.00,368.00,"57,305.00","222,278",,,6.21,193.94
Game Metric Report,Site: BankofPinball,"Period: From Thu, 01-Jan-2026 06:00 AM To Sat, 31-Jan-2026 06:00 AM",Game Profile: All,site_name,game_profile,BankofPinball,Pinball,Site Name,BankofPinball,Game Profiles,Pinball,Game Name,Avengers Infinity Quest,ID,0103,Credit Play Count,28,Courtesy Play Count,0,Bonus Play Count,0,Time Play Count,0,Card Game Count,5,Total Plays,33,Credits,196.00,Courtesy,0.00,Bonus,0.00,Time,0.00,Card Game,7.00,Total Amt.,203.00,Tickets,0,GST,0.00,SN#,,Avg. Price,6.15,PO%,0.00,,Pinball Total,,,"2,419",0,0,0,186,"2,605","16,933.00",0.00,0.00,0.00,126.00,"17,059.00",0,0.00,,6.55,0.00,Total,BankofPinball Total,,,,"8,907",0,0,0,324,"9,231","56,937.00",0.00,0.00,0.00,368.00,"57,305.00","222,278",,,6.21,193.94,Total,Grand Total,,,,"8,907",0,0,0,324,"9,231","56,937.00",0.00,0.00,0.00,368.00,"57,305.00","222,278",,,6.21,193.94
